date,close,volume,open,high,low,stock_name
2014-11-14,544.4,1285841.0,546.68,546.68,542.15,Google
2014-11-17,536.51,1721145.0,543.58,543.79,534.06,Google
2014-11-18,535.03,1957367.0,537.5,541.94,534.17,Google
2014-11-19,536.99,1388234.0,535.0,538.24,530.08,Google
2014-11-20,534.83,1558476.0,531.25,535.11,531.08,Google
2014-11-21,537.5,2218137.0,541.61,542.14,536.56,Google
2014-11-24,539.27,1701562.0,537.65,542.7,535.62,Google
2014-11-25,541.08,1784967.0,539.0,543.98,538.6,Google
2014-11-26,540.37,1519474.0,541.47,541.55,537.04,Google
2014-11-28,541.83,1145231.0,540.15,542.0,536.6,Google
2014-12-01,533.8,2109498.0,538.9,541.41,531.86,Google
2014-12-02,533.75,1522426.0,533.95,535.5,529.8,Google
2014-12-03,531.32,1279137.0,531.44,536.0,529.26,Google
2014-12-04,537.31,1392208.0,531.16,537.34,528.59,Google
2014-12-05,525.26,2557697.0,531.0,532.89,524.28,Google
2014-12-08,526.98,2326833.0,527.13,531.0,523.79,Google
2014-12-09,533.37,1871268.0,522.65,534.19,520.5,Google
2014-12-10,526.06,1716785.0,532.96,536.33,525.56,Google
2014-12-11,528.34,1610954.0,527.8,533.92,527.1,Google
2014-12-12,518.66,1988118.0,523.51,528.5,518.66,Google
2014-12-15,513.8,2812509.0,522.74,523.1,513.27,Google
2014-12-16,495.39,3947212.0,511.56,513.05,489.0,Google
2014-12-17,504.89,2874963.0,497.0,507.0,496.81,Google
2014-12-18,511.1,2918096.0,512.35,513.87,504.7,Google
2014-12-19,516.35,3679797.0,511.51,517.72,506.91,Google
2014-12-22,524.87,2723599.0,516.68,526.46,516.08,Google
2014-12-23,530.59,2191455.0,527.0,534.56,526.29,Google
2014-12-24,528.77,704035.0,530.51,531.76,527.02,Google
2014-12-26,534.03,1037687.0,528.77,534.25,527.31,Google
2014-12-29,530.33,2276094.0,532.19,535.48,530.01,Google
2014-12-30,530.42,873863.0,528.17,531.15,527.13,Google
2014-12-31,526.4,1370404.0,531.25,532.6,525.8,Google
2015-01-02,524.81,1446432.0,529.01,531.27,524.1,Google
2015-01-05,513.87,2052886.0,523.26,524.33,513.06,Google
2015-01-06,501.96,2891303.0,515.0,516.17,501.05,Google
2015-01-07,501.1,2059169.0,507.0,507.24,499.65,Google
2015-01-08,502.68,3344104.0,497.99,503.48,491.0,Google
2015-01-09,496.17,2065665.0,504.76,504.92,494.79,Google
2015-01-12,492.55,2320364.0,494.94,495.98,487.56,Google
2015-01-13,496.18,2365648.0,497.75,502.98,492.39,Google
2015-01-14,500.87,2229598.0,494.65,503.23,493.0,Google
2015-01-15,501.79,2710991.0,504.0,505.68,497.76,Google
2015-01-16,508.08,2291740.0,500.01,508.19,500.0,Google
2015-01-20,506.9,3480577.0,511.0,512.5,506.02,Google
2015-01-21,518.04,3673165.0,507.25,519.28,506.2,Google
2015-01-22,534.39,4591098.0,521.49,536.33,519.7,Google
2015-01-23,539.95,3974914.0,535.59,542.17,533.0,Google
2015-01-26,535.21,1538819.0,538.17,539.0,529.67,Google
2015-01-27,518.63,1898200.0,529.97,530.7,518.19,Google
2015-01-28,510.0,1659379.0,522.78,522.99,510.0,Google
2015-01-29,510.66,4169949.0,511.0,511.09,501.2,Google
2015-01-30,534.52,5590800.0,515.86,539.87,515.52,Google
2015-02-02,528.48,2841867.0,531.46,533.0,518.55,Google
2015-02-03,529.24,2033080.0,528.0,533.4,523.26,Google
2015-02-04,522.76,1658697.0,529.24,532.67,521.27,Google
2015-02-05,527.58,1844552.0,523.79,528.5,522.09,Google
2015-02-06,531.0,1758502.0,528.13,537.2,526.41,Google
2015-02-09,527.83,1263805.0,528.0,532.0,526.02,Google
2015-02-10,536.94,1744835.0,529.3,537.7,526.92,Google
2015-02-11,535.97,1373770.0,535.3,538.45,533.38,Google
2015-02-12,542.93,1615822.0,537.11,544.82,534.67,Google
2015-02-13,549.01,1878974.0,543.35,549.91,543.13,Google
2015-02-17,542.84,1612238.0,546.83,550.0,541.09,Google
2015-02-18,539.7,1448741.0,541.4,545.49,537.51,Google
2015-02-19,542.87,987464.0,538.04,543.11,538.01,Google
2015-02-20,538.95,1441212.0,543.13,543.75,535.8,Google
2015-02-23,531.91,1453637.0,536.3,536.44,529.41,Google
2015-02-24,536.09,1002393.0,529.7,536.79,528.25,Google
2015-02-25,543.87,1821016.0,535.9,546.22,535.45,Google
2015-02-26,555.48,2305009.0,543.0,556.14,541.5,Google
2015-02-27,558.4,2403553.0,554.24,564.71,552.9,Google
2015-03-02,571.34,2123700.0,560.53,572.15,558.75,Google
2015-03-03,573.64,1700000.0,570.45,575.39,566.52,Google
2015-03-04,573.37,1871600.0,571.87,577.11,568.01,Google
2015-03-05,575.33,1385800.0,575.26,577.91,573.41,Google
2015-03-06,567.68,1654500.0,574.96,576.68,566.76,Google
2015-03-09,568.85,1059300.0,566.86,570.27,563.53,Google
2015-03-10,555.01,1787300.0,563.71,564.85,554.73,Google
2015-03-11,551.18,1815700.0,555.14,558.14,550.68,Google
2015-03-12,545.38,1386450.0,553.63,556.37,545.36,Google
2015-03-13,547.32,1698800.0,553.5,558.4,544.22,Google
